ID_ND_NALEZ;IDX_ND_AKCE;DRUH;CESKE_JME;AUTOR;DATUM_OD;DATUM_DO;IDX_ND_LOK;LOKALITA;KOD_LOKALITY;SKUPINA;EVL;PROC_EVL;NEGATIVNI;IDX_ND_LOKALIZACE;MAX_PROC;POLE;DATUM;DEN;MESIC;ROK;kod_chu;nazev_chu;KOD_LOKAL;CILMON;STAV_IND;ID_IND;HOD_IND;TYP_IND;LIM_IND;JEDNOTKA;KLIC;UROVEN;pozn;...34;LIM_INDLIST;IND_GRP;NAZEV;pracoviste;oop
43815580;10087928;Rhodeus amarus;hořavka duhová;Halačka Karel;07.08.2017;14.08.2017;6330040;Morava - Chrbov;NA;Ryby a mihule;CZ0714085: Morava - Chropyňský luh;100;0;6330040;100;6669b;2017-08-07;7;8;2017;CZ0714085;Morava - Chropyňský luh;CZ0714085;0;0;CELKOVE_HODNOCENI;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;Morava - Chropyňský luh;RP Olomoucko;AOPK ČR - RP Olomoucko, AOPK ČR - RP SCHKO Bílé Karpaty, Krajský úřad Olomouckého kraje, Krajský úřad Zlínského kraje
43815580;10087928;Rhodeus amarus;hořavka duhová;Halačka Karel;07.08.2017;14.08.2017;6330040;Morava - Chrbov;NA;Ryby a mihule;CZ0714085: Morava - Chropyňský luh;100;0;6330040;100;6669b;2017-08-07;7;8;2017;CZ0714085;Morava - Chropyňský luh;CZ0714085;0;0;POP_VITALITA;0;min;2;kategorie;ano;lok;NA;NA;alespoň 2 kategorie;minmax;Morava - Chropyňský luh;RP Olomoucko;AOPK ČR - RP Olomoucko, AOPK ČR - RP SCHKO Bílé Karpaty, Krajský úřad Olomouckého kraje, Krajský úřad Zlínského kraje
43815961;10148530;Cottus gobio;vranka obecná;Říš Václav;10.10.2017;10.10.2017;6380166;Klabava II - Strašice_pod mostem;NA;Ryby a mihule;CZ0323812: Klabava;100;0;6380166;100;6248c;2017-10-10;10;10;2017;CZ0323812;Klabava;CZ0323812;1;0;CELKOVE_HODNOCENI;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;Klabava;RP SCHKO Český les;Krajský úřad Plzeňského kraje
43815961;10148530;Cottus gobio;vranka obecná;Říš Václav;10.10.2017;10.10.2017;6380166;Klabava II - Strašice_pod mostem;NA;Ryby a mihule;CZ0323812: Klabava;100;0;6380166;100;6248c;2017-10-10;10;10;2017;CZ0323812;Klabava;CZ0323812;1;0;POP_VITALITA;0;val;3;NA;ano;lok;NA;NA;3;val;Klabava;RP SCHKO Český les;Krajský úřad Plzeňského kraje
43815984;10148535;Lampetra planeri;mihule potoční;Bodnár Tomáš#Muška Milan#Neudert Jiří;26.10.2017;26.10.2017;6380161;Malše I - Dolní Dvořiště;NA;Ryby a mihule;CZ0314022: Horní Malše;100;0;6380161;100;7352d;2017-10-26;26;10;2017;CZ0314022;Horní Malše;CZ0314022;1;0;CELKOVE_HODNOCENI;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;Horní Malše;RP Jižní Čechy;Krajský úřad Jihočeského kraje
43815984;10148535;Lampetra planeri;mihule potoční;Bodnár Tomáš#Muška Milan#Neudert Jiří;26.10.2017;26.10.2017;6380161;Malše I - Dolní Dvořiště;NA;Ryby a mihule;CZ0314022: Horní Malše;100;0;6380161;100;7352d;2017-10-26;26;10;2017;CZ0314022;Horní Malše;CZ0314022;1;0;POP_VITALITA;0;min;3;kategorie;ano;lok;NA;NA;alespoň 3 kategorie;minmax;Horní Malše;RP Jižní Čechy;Krajský úřad Jihočeského kraje
43816012;10148544;Lampetra planeri;mihule potoční;Feřtová Jitka;19.10.2017;19.10.2017;6380162;Smědá I - most Černousy-Boleslav;NA;Ryby a mihule;CZ0513256: Smědá;100;0;6380162;100;4956c;2017-10-19;19;10;2017;CZ0513256;Smědá;CZ0513256;1;0;CELKOVE_HODNOCENI;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;Smědá;RP Liberecko;Krajský úřad Libereckého kraje
43816012;10148544;Lampetra planeri;mihule potoční;Feřtová Jitka;19.10.2017;19.10.2017;6380162;Smědá I - most Černousy-Boleslav;NA;Ryby a mihule;CZ0513256: Smědá;100;0;6380162;100;4956c;2017-10-19;19;10;2017;CZ0513256;Smědá;CZ0513256;1;0;POP_VITALITA;0;min;3;kategorie;ano;lok;NA;NA;alespoň 3 kategorie;minmax;Smědá;RP Liberecko;Krajský úřad Libereckého kraje
43816412;10087917;Rhodeus amarus;hořavka duhová;Vetešník Lukáš#Halačka Karel;11.09.2017;13.09.2017;6330030;Jihlava - Kupařovice;NA;Ryby a mihule;CZ0624238: Meandry Jihlavy;100;0;6330030;100;6965c;2017-09-11;11;9;2017;CZ0624238;Meandry Jihlavy;CZ0624238;0;0;CELKOVE_HODNOCENI;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;Meandry Jihlavy;RP Jižní Morava;Krajský úřad Jihomoravského kraje
43816412;10087917;Rhodeus amarus;hořavka duhová;Vetešník Lukáš#Halačka Karel;11.09.2017;13.09.2017;6330030;Jihlava - Kupařovice;NA;Ryby a mihule;CZ0624238: Meandry Jihlavy;100;0;6330030;100;6965c;2017-09-11;11;9;2017;CZ0624238;Meandry Jihlavy;CZ0624238;0;0;POP_VITALITA;0;min;2;kategorie;ano;lok;NA;NA;alespoň 2 kategorie;minmax;Meandry Jihlavy;RP Jižní Morava;Krajský úřad Jihomoravského kraje
43816420;10087916;Rhodeus amarus;hořavka duhová;Halačka Karel#Vetešník Lukáš;11.09.2017;13.09.2017;6330029;Jihlava - Medlov;NA;Ryby a mihule;CZ0624238: Meandry Jihlavy;100;0;6330029;100;6965c;2017-09-11;11;9;2017;CZ0624238;Meandry Jihlavy;CZ0624238;0;0;CELKOVE_HODNOCENI;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;Meandry Jihlavy;RP Jižní Morava;Krajský úřad Jihomoravského kraje
43816420;10087916;Rhodeus amarus;hořavka duhová;Halačka Karel#Vetešník Lukáš;11.09.2017;13.09.2017;6330029;Jihlava - Medlov;NA;Ryby a mihule;CZ0624238: Meandry Jihlavy;100;0;6330029;100;6965c;2017-09-11;11;9;2017;CZ0624238;Meandry Jihlavy;CZ0624238;0;0;POP_VITALITA;0;min;2;kategorie;ano;lok;NA;NA;alespoň 2 kategorie;minmax;Meandry Jihlavy;RP Jižní Morava;Krajský úřad Jihomoravského kraje
43816428;10087915;Rhodeus amarus;hořavka duhová;Halačka Karel#Vetešník Lukáš;11.09.2017;13.09.2017;6330027;Jihlava - Medlov_jez;NA;Ryby a mihule;CZ0624238: Meandry Jihlavy;100;0;6330027;100;6965c;2017-09-11;11;9;2017;CZ0624238;Meandry Jihlavy;CZ0624238;0;0;CELKOVE_HODNOCENI;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;Meandry Jihlavy;RP Jižní Morava;Krajský úřad Jihomoravského kraje
43816428;10087915;Rhodeus amarus;hořavka duhová;Halačka Karel#Vetešník Lukáš;11.09.2017;13.09.2017;6330027;Jihlava - Medlov_jez;NA;Ryby a mihule;CZ0624238: Meandry Jihlavy;100;0;6330027;100;6965c;2017-09-11;11;9;2017;CZ0624238;Meandry Jihlavy;CZ0624238;0;0;POP_VITALITA;0;min;2;kategorie;ano;lok;NA;NA;alespoň 2 kategorie;minmax;Meandry Jihlavy;RP Jižní Morava;Krajský úřad Jihomoravského kraje
