"kod_chu","DRUH","KOD_LOKAL","POLE","ROK","ID_IND","SKUPINA","NAZEV_LOK","ID_ND_AKCE","DATUM","HOD_IND","TYP_IND","LIM_IND","JEDNOTKA","LIM_INDLIST","STAV_IND","KLIC","IND_GRP","UROVEN","CILMON","IND_SUM","IND_SUMKLIC","IND_SUMOST","IND_LEN","IND_LENKLIC","IND_LENOST","CELKOVE","NAZEV","HODNOCENE_OBDOBI_OD","HODNOCENE_OBDOBI_DO","pracoviste","oop"
"CZ0623797","Rhodeus amarus","CZ0623797","7069d","2017","POP_VITALITA","Ryby a mihule","Meliorák - Stránice_rozdìlovací objekt","10140656","2017-09-26","0","min","2","kategorie","alespoò 2 kategorie",0,"ano","minmax","lok","0","0","0","0",8,2,6,0,"Stránicko",2017-09-26,2017-09-26,"RP SCHKO Bílé Karpaty","Krajskı úøad Jihomoravského kraje"
"CZ0713004","Cottus gobio","CZ0713004","5968c","2017","CELKOVE_HODNOCENI","Ryby a mihule","Raèinka - Velké Losiny (ø. km 1,3)","10140920","2017-09-29","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"0","0","0","0",8,2,6,0,"Raèinka",2013-09-23,2017-09-29,"RP Olomoucko","Krajskı úøad Olomouckého kraje"
"CZ0713004","Cottus gobio","CZ0713004","5968c","2017","POP_VITALITA","Ryby a mihule","Raèinka - Velké Losiny (ø. km 1,3)","10140920","2017-09-29","0","val","3",NA,"3",0,"ano","val","lok","0","0","0","0",8,2,6,0,"Raèinka",2013-09-23,2017-09-29,"RP Olomoucko","Krajskı úøad Olomouckého kraje"
"CZ0524044","Lampetra planeri","CZ0524044","5359d","2017","CELKOVE_HODNOCENI","Ryby a mihule","Bìlá - Vısplachy","10143346","2017-05-29","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"0","0","0","0",5,2,3,0,"Krkonoše",2012-08-15,2017-05-29,"RP Liberecko","AOPK ÈR - RP Liberecko, Správa KRNAP, Krajskı úøad Libereckého kraje"
"CZ0524044","Lampetra planeri","CZ0524044","5359d","2017","POP_VITALITA","Ryby a mihule","Bìlá - Vısplachy","10143346","2017-05-29","0","min","3","kategorie","alespoò 3 kategorie",0,"ano","minmax","lok","0","0","0","0",5,2,3,0,"Krkonoše",2012-08-15,2017-05-29,"RP Liberecko","AOPK ÈR - RP Liberecko, Správa KRNAP, Krajskı úøad Libereckého kraje"
"CZ0314022","Cottus gobio","CZ0314022","7352d","2017","CELKOVE_HODNOCENI","Ryby a mihule","Malše I - Dolní Dvoøištì","10148535","2017-10-26","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"1","0","0","0",8,2,6,0,"Horní Malše",2012-09-07,2024-04-24,"RP Jiní Èechy","Krajskı úøad Jihoèeského kraje"
"CZ0314022","Cottus gobio","CZ0314022","7352d","2017","POP_VITALITA","Ryby a mihule","Malše I - Dolní Dvoøištì","10148535","2017-10-26","0","val","3",NA,"3",0,"ano","val","lok","1","0","0","0",8,2,6,0,"Horní Malše",2012-09-07,2024-04-24,"RP Jiní Èechy","Krajskı úøad Jihoèeského kraje"
"CZ0314022","Lampetra planeri","CZ0314022","7352d","2017","CELKOVE_HODNOCENI","Ryby a mihule","Malše I - Dolní Dvoøištì","10148535","2017-10-26","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"1","0","0","0",5,2,3,0,"Horní Malše",2012-09-07,2024-04-24,"RP Jiní Èechy","Krajskı úøad Jihoèeského kraje"
"CZ0314022","Lampetra planeri","CZ0314022","7352d","2017","POP_VITALITA","Ryby a mihule","Malše I - Dolní Dvoøištì","10148535","2017-10-26","0","min","3","kategorie","alespoò 3 kategorie",0,"ano","minmax","lok","1","0","0","0",5,2,3,0,"Horní Malše",2012-09-07,2024-04-24,"RP Jiní Èechy","Krajskı úøad Jihoèeského kraje"
"CZ0513256","Cottus gobio","CZ0513256","4956c","2017","CELKOVE_HODNOCENI","Ryby a mihule","Smìdá I - most Èernousy-Boleslav","10148544","2017-10-19","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"1","0","0","0",8,2,6,0,"Smìdá",2012-10-18,2022-10-22,"RP Liberecko","Krajskı úøad Libereckého kraje"
"CZ0513256","Cottus gobio","CZ0513256","4956c","2017","POP_VITALITA","Ryby a mihule","Smìdá I - most Èernousy-Boleslav","10148544","2017-10-19","0","val","3",NA,"3",0,"ano","val","lok","1","0","0","0",8,2,6,0,"Smìdá",2012-10-18,2022-10-22,"RP Liberecko","Krajskı úøad Libereckého kraje"
"CZ0513256","Lampetra planeri","CZ0513256","4956c","2017","CELKOVE_HODNOCENI","Ryby a mihule","Smìdá I - most Èernousy-Boleslav","10148544","2017-10-19","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"1","0","0","0",5,2,3,0,"Smìdá",2012-10-18,2022-10-22,"RP Liberecko","Krajskı úøad Libereckého kraje"
"CZ0513256","Lampetra planeri","CZ0513256","4956c","2017","POP_VITALITA","Ryby a mihule","Smìdá I - most Èernousy-Boleslav","10148544","2017-10-19","0","min","3","kategorie","alespoò 3 kategorie",0,"ano","minmax","lok","1","0","0","0",5,2,3,0,"Smìdá",2012-10-18,2022-10-22,"RP Liberecko","Krajskı úøad Libereckého kraje"
"CZ0623797","Misgurnus fossilis","CZ0623797","7169b","2017","CELKOVE_HODNOCENI","Ryby a mihule","Meliorák - Stránice III","10260529","2017-09-26","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"0","0","0","0",6,2,3,0,"Stránicko",2017-09-26,2017-09-26,"RP SCHKO Bílé Karpaty","Krajskı úøad Jihomoravského kraje"
"CZ0623797","Misgurnus fossilis","CZ0623797","7169b","2017","POP_VITALITA","Ryby a mihule","Meliorák - Stránice III","10260529","2017-09-26","0","min","3","kategorie","alespoò 3 kategorie",0,"ano","minmax","lok","0","0","0","0",6,2,3,0,"Stránicko",2017-09-26,2017-09-26,"RP SCHKO Bílé Karpaty","Krajskı úøad Jihomoravského kraje"
"CZ0714085","Rhodeus amarus","CZ0714085","6670a","2016","CELKOVE_HODNOCENI","Ryby a mihule","Svodnice - Chropynì","10263536","2016-05-29","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"0","0","0","0",8,2,6,0,"Morava - Chropyòskı luh",2015-04-05,2016-05-29,"RP Olomoucko","AOPK ÈR - RP Olomoucko, AOPK ÈR - RP SCHKO Bílé Karpaty, Krajskı úøad Olomouckého kraje, Krajskı úøad Zlínského kraje"
"CZ0714085","Rhodeus amarus","CZ0714085","6670a","2016","POP_VITALITA","Ryby a mihule","Svodnice - Chropynì","10263536","2016-05-29","0","min","2","kategorie","alespoò 2 kategorie",0,"ano","minmax","lok","0","0","0","0",8,2,6,0,"Morava - Chropyòskı luh",2015-04-05,2016-05-29,"RP Olomoucko","AOPK ÈR - RP Olomoucko, AOPK ÈR - RP SCHKO Bílé Karpaty, Krajskı úøad Olomouckého kraje, Krajskı úøad Zlínského kraje"
"CZ0714085","Misgurnus fossilis","CZ0714085","6670a","2016","CELKOVE_HODNOCENI","Ryby a mihule","Svodnice - Chropynì, kanál - Chropynì","10263536, 10263539","2016-05-29","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"0","0","0","0",6,2,3,0,"Morava - Chropyòskı luh",2015-06-04,2016-05-29,"RP Olomoucko","AOPK ÈR - RP Olomoucko, AOPK ÈR - RP SCHKO Bílé Karpaty, Krajskı úøad Olomouckého kraje, Krajskı úøad Zlínského kraje"
"CZ0714085","Misgurnus fossilis","CZ0714085","6670a","2016","POP_VITALITA","Ryby a mihule","Svodnice - Chropynì, kanál - Chropynì","10263536, 10263539","2016-05-29","0","min","3","kategorie","alespoò 3 kategorie",0,"ano","minmax","lok","0","0","0","0",6,2,3,0,"Morava - Chropyòskı luh",2015-06-04,2016-05-29,"RP Olomoucko","AOPK ÈR - RP Olomoucko, AOPK ÈR - RP SCHKO Bílé Karpaty, Krajskı úøad Olomouckého kraje, Krajskı úøad Zlínského kraje"
"CZ0613333","Lampetra planeri","CZ0613333","6462a","2014","CELKOVE_HODNOCENI","Ryby a mihule","Stavištì III - Lhotka _nad","10267070","2014-10-03","špatnı",NA,NA,NA,NA,0,NA,NA,NA,"1","0","0","0",5,2,3,0,"Stavištì",2014-10-03,2019-11-06,"RP Vysoèina","AOPK ÈR - RP Vysoèina"
