"typ_predmetu_hodnoceni","kod_chu","nazev_chu","druh","feature_code","hodnocene_obdobi_od","hodnocene_obdobi_do","oop","parametr_nazev","parametr_hodnota","parametr_limit","parametr_jednotka","stav","trend","datum_hodnoceni","pracoviste","metodika"
"Druh","CZ0524044","Krkonoše","Campanula bohemica",NA,2012-01-01,2024-08-08,"AOPK ÈR - RP Liberecko, Správa KRNAP, Krajský úøad Libereckého kraje",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Liberecko",15087
"Druh","CZ0524044","Krkonoše","Campanula bohemica",NA,2012-01-01,2024-08-08,"AOPK ÈR - RP Liberecko, Správa KRNAP, Krajský úøad Libereckého kraje",NA,"34.014","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Liberecko",15087
"Druh","CZ0714077","Pradìd","Campanula gelida",NA,2012-01-01,2024-07-25,"AOPK ÈR - RP Olomoucko",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Olomoucko",15087
"Druh","CZ0714077","Pradìd","Campanula gelida",NA,2012-01-01,2024-07-25,"AOPK ÈR - RP Olomoucko",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Olomoucko",15087
"Druh","CZ0412069","Pramenské pastviny","Cerastium alsinifolium",NA,2012-05-04,2018-11-14,"AOPK ÈR - RP SCHKO Slavkovský les",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP SCHKO Slavkovský les",15087
"Druh","CZ0412069","Pramenské pastviny","Cerastium alsinifolium",NA,2012-05-04,2018-11-14,"AOPK ÈR - RP SCHKO Slavkovský les",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP SCHKO Slavkovský les",15087
"Druh","CZ0412070","Raušenbašská lada","Cerastium alsinifolium",NA,2012-06-12,2024-11-26,"AOPK ÈR - RP SCHKO Slavkovský les",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP SCHKO Slavkovský les",15087
"Druh","CZ0412070","Raušenbašská lada","Cerastium alsinifolium",NA,2012-06-12,2024-11-26,"AOPK ÈR - RP SCHKO Slavkovský les",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP SCHKO Slavkovský les",15087
"Druh","CZ0414026","Úpolínová louka - Køížky","Cerastium alsinifolium",NA,2012-05-23,2024-09-19,"AOPK ÈR - RP SCHKO Slavkovský les",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP SCHKO Slavkovský les",15087
"Druh","CZ0414026","Úpolínová louka - Køížky","Cerastium alsinifolium",NA,2012-05-23,2024-09-19,"AOPK ÈR - RP SCHKO Slavkovský les",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP SCHKO Slavkovský les",15087
"Druh","CZ0622026","Trkmanské louky","Cirsium brachycephalum",NA,2012-07-28,2024-07-09,"Krajský úøad Jihomoravského kraje",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Jižní Morava",15087
"Druh","CZ0622026","Trkmanské louky","Cirsium brachycephalum",NA,2012-07-28,2024-07-09,"Krajský úøad Jihomoravského kraje",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Jižní Morava",15087
"Druh","CZ0622037","Trkmanec - Rybníèky","Cirsium brachycephalum",NA,2012-07-25,2024-07-07,"Krajský úøad Jihomoravského kraje",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Jižní Morava",15087
"Druh","CZ0622037","Trkmanec - Rybníèky","Cirsium brachycephalum",NA,2012-07-25,2024-07-07,"Krajský úøad Jihomoravského kraje",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Jižní Morava",15087
"Druh","CZ0212001","Bøezinský rybník","Coleanthus subtilis",NA,2012-05-17,2023-05-30,"Krajský úøad Støedoèeského kraje",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Støední Èechy",15087
"Druh","CZ0212001","Bøezinský rybník","Coleanthus subtilis",NA,2012-05-17,2023-05-30,"Krajský úøad Støedoèeského kraje",NA,"0","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Støední Èechy",15087
"Druh","CZ0212010","Hvožïanské Háje","Coleanthus subtilis",NA,2012-05-14,2023-05-30,"Krajský úøad Støedoèeského kraje",NA,"","50","% lokalit v dobrém stavu","špatný","neznámý",2025-07-04,"RP Støední Èechy",15087
