"SITECODE","NAZEV","DRUH","FEATURE_CODE","BIOTOP_PLOCHA","BIOTOP_PROCENTO"
"CZ0213063","Rakovník - za koupalištěm","Phengaris nausithous",6179,3.54590064817657,0.354675718048956
"CZ0213777","Bohostice","Phengaris nausithous",6179,1.43944679693305,0.260808734265817
"CZ0214004","Černý Orel","Phengaris nausithous",6179,48.8445493059057,0.215446437022742
"CZ0214040","Louky u Drahlína","Phengaris nausithous",6179,1.06884908960347,0.0846940140938814
"CZ0313096","Čábuze","Phengaris nausithous",6179,5.70445351356751,0.147991045518572
"CZ0313114","Onšovice - Mlýny","Phengaris nausithous",6179,6.07431486053495,0.254338236974658
"CZ0313141","Žofina Huť","Phengaris nausithous",6179,3.7415727250263,0.0830387365258095
"CZ0314123","Boletice","Phengaris nausithous",6179,1150.69457172983,0.0565487101718445
"CZ0314124","Blanský les","Phengaris nausithous",6179,611.519193908783,0.0275310993332152
"CZ0323150","Kamenec","Phengaris nausithous",6179,5.05848902069727,0.50685153865183
"CZ0414127","Hradiště","Phengaris nausithous",6179,10012.1923105136,0.301944317274038
"CZ0424030","Bezručovo údolí","Phengaris nausithous",6179,16.6282428372007,0.013913960885631
"CZ0424127","Východní Krušnohoří","Phengaris nausithous",6179,496.634402814212,0.0339343967061725
"CZ0513506","Horní Ploučnice","Phengaris nausithous",6179,115.328939562756,0.132025181863722
"CZ0514113","Podtrosecká údolí","Phengaris nausithous",6179,20.2031335393785,0.0389348786559982
"CZ0514670","Ronov - Vlhošť","Phengaris nausithous",6179,272.734822852335,0.364929889828566
"CZ0523014","Vladivostok","Phengaris nausithous",6179,16.452731260116,0.743520021993512
"CZ0523273","Javorka a Cidlina - Sběř","Phengaris nausithous",6179,100.002970304691,0.325433141618834
"CZ0523275","Kačerov","Phengaris nausithous",6179,1.44841999339331,0.651312777965748
"CZ0523291","Uhřínov - Benátky","Phengaris nausithous",6179,3.32155319984775,0.57507361016271
"CZ0533308","Bohdanečský rybník","Phengaris nausithous",6179,9.92897170669364,0.0400737256933337
"CZ0534051","Anenské údolí","Phengaris nausithous",6179,7.78438086324652,0.19758578217719
"CZ0534055","Ratajské rybníky","Phengaris nausithous",6179,11.8670734501301,0.581328599212129
"CZ0537011","Louky u Přelouče","Phengaris nausithous",6179,56.9561721284316,0.426670893004394
"CZ0613009","Niva Fryšávky","Phengaris nausithous",6179,19.9245800911289,0.563963094297064
"CZ0613010","Údolí Svratky u Krásného","Phengaris nausithous",6179,53.7003745847746,0.556290565662096
"CZ0613012","Na Ostrážné","Phengaris nausithous",6179,1.26587464891967,0.756220928042459
"CZ0713388","Protivanov","Phengaris nausithous",6179,1.90761177364201,0.672786109376787
"CZ0713395","Vidnava","Phengaris nausithous",6179,2.60771054803556,0.0662878367333945
"CZ0714073","Litovelské Pomoraví","Phengaris nausithous",6179,338.946165136595,0.0358348413757918
"CZ0714085","Morava - Chropyňský luh","Phengaris nausithous",6179,142.351777017223,0.0444109045090286
"CZ0723403","Uhliska","Phengaris nausithous",6179,10.9927944544498,0.216933573809784
"CZ0724090","Bílé Karpaty","Phengaris nausithous",6179,2776.62743505919,0.138531395817612
"CZ0813448","Jakartovice","Phengaris nausithous",6179,0,0
"CZ0813449","Jilešovice - Děhylov","Phengaris nausithous",6179,0,0
"CZ0814092","Poodří","Phengaris nausithous",6179,1372.92324745959,0.262257034029912
"CZ0214005","Andělské schody","Phengaris teleius",6177,21.149458539152,0.113199005555654
"CZ0214040","Louky u Drahlína","Phengaris teleius",6177,1.06884908960347,0.0846940140938814
"CZ0313004","Terčino údolí","Phengaris teleius",6177,3.19557595784324,0.539806174954304
"CZ0313123","Stropnice","Phengaris teleius",6177,92.4653248303493,0.0743269716545674
"CZ0314123","Boletice","Phengaris teleius",6177,1150.69457172983,0.0565487101718445
"CZ0314124","Blanský les","Phengaris teleius",6177,611.519193908783,0.0275310993332152
"CZ0323150","Kamenec","Phengaris teleius",6177,5.05848902069727,0.50685153865183
"CZ0424030","Bezručovo údolí","Phengaris teleius",6177,16.6282428372007,0.013913960885631
"CZ0424127","Východní Krušnohoří","Phengaris teleius",6177,496.634402814212,0.0339343967061725
"CZ0513506","Horní Ploučnice","Phengaris teleius",6177,115.328939562756,0.132025181863722
"CZ0514670","Ronov - Vlhošť","Phengaris teleius",6177,272.734822852335,0.364929889828566
"CZ0523010","Na Plachtě","Phengaris teleius",6177,8.11853744720678,0.145507743429593
"CZ0523014","Vladivostok","Phengaris teleius",6177,16.452731260116,0.743520021993512
"CZ0523275","Kačerov","Phengaris teleius",6177,1.44841999339331,0.651312777965748
"CZ0534055","Ratajské rybníky","Phengaris teleius",6177,11.8670734501301,0.581328599212129
"CZ0537011","Louky u Přelouče","Phengaris teleius",6177,56.9561721284316,0.426670893004394
