sitecode;typ_chu;nazev_chu;pracoviste;,,
CZ0210175;EVL;lunice - Skochovice;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0624069;EVL;Strabišov - Oulehla;RP Jiní Morava,,;
CZ0620194;EVL;Èepièkùv vrch a údolí Hodonínky;RP Jiní Morava,,;
CZ0710182;EVL;Choryòskı mokøad;RP Olomoucko,,;
CZ0520009;EVL;Perna;RP Vıchodní Èechy,,;
CZ0614134;EVL;Údolí Jihlavy;RP Vysoèina,,;
CZ0210101;EVL;Dymokursko;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0620132;EVL;Údolí Chlébského potoka;RP Jiní Morava,,;
CZ0210731;EVL;Øísnice;RP Støední Èechy,,;
CZ0530033;EVL;Bohdalov;RP Vıchodní Èechy,,;
CZ0514670;EVL;Ronov - Vlhoš;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0413177;EVL;Bystøina - Luní potok;RP SCHKO Slavkovskı les,,;
CZ0424111;EVL;Labské údolí;RP SCHKO Èeské støedohoøí,,;
CZ0420501;EVL;Olšovı potok;RP SCHKO Èeské støedohoøí,,;
CZ0514042;EVL;Jestøebsko - Dokesko;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0310611;EVL;Široké blato;RP Jiní Èechy,,;
CZ0612149;EVL;Suché skály;RP Vysoèina,,;
CZ0310057;EVL;Pohoøí na Šumavì;RP Jiní Èechy,,;
CZ0524044;EVL;Krkonoše;RP Liberecko,,;
CZ0420053;EVL;Rašeliništì U jezera - Cínovecké rašeliništì;RP SCHKO Èeské støedohoøí,,;
CZ0720435;EVL;Podkrálovec;RP SCHKO Bílé Karpaty,,;
CZ0624071;EVL;Oèov;RP Jiní Morava,,;
CZ0710148;EVL;Pøestavlckı les;RP Olomoucko,,;
CZ0314022;EVL;Horní Malše;RP Jiní Èechy,,;
CZ0114001;EVL;Radotínské údolí;RP Støední Èechy,,;
CZ0210003;EVL;Na pramenech;RP Støední Èechy,,;
CZ0210008;EVL;Zámeckı park Liblice;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0210011;EVL;Lounín;RP Støední Èechy,,;
CZ0210022;EVL;Kozí hùra;RP Støední Èechy,,;
CZ0210023;EVL;Pustá seè;RP Støední Èechy,,;
CZ0210027;EVL;Vodìradské buèiny;RP Støední Èechy,,;
CZ0210029;EVL;Zadní Hrádek;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0210034;EVL;Všetatská èernava;RP Støední Èechy,,;
CZ0210044;EVL;Na horách u Køešína;RP Støední Èechy,,;
CZ0210047;EVL;Tøemšín a Høebence;RP Støední Èechy,,;
CZ0210053;EVL;Støední Povltaví u Drbákova;RP Støední Èechy,,;
CZ0210058;EVL;Louky u Budenína;RP Støední Èechy,,;
CZ0210066;EVL;erka;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0210100;EVL;Bílichovské údolí;RP Støední Èechy,,;
CZ0210107;EVL;Krnèí a Voleška;RP Støední Èechy,,;
CZ0210111;EVL;Paterovské stránì;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0210113;EVL;Louky u rybníka Proudnice;RP Støední Èechy,,;
CZ0210118;EVL;V jezírkách;RP Støední Èechy,,;
CZ0210150;EVL;Ètvrtì;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0210704;EVL;Èertova skála;RP Støední Èechy,,;
CZ0210708;EVL;Støíbrnı luh;RP Støední Èechy,,;
CZ0210713;EVL;Polabské hùry;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0210714;EVL;Lovické tùnì;RP Støední Èechy,,;
CZ0210719;EVL;Milèice;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0210720;EVL;Louèeòské rybníèky;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0210726;EVL;Vápnomilnı bor u Líského;RP Støední Èechy,,;
CZ0210729;EVL;Vìtrušické rokle;RP Støední Èechy,,;
CZ0210730;EVL;Písèina u Byšièek;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0210732;EVL;Kalištì;RP Støední Èechy,,;
CZ0210733;EVL;Pahorek u Ledèic;RP Støední Èechy,,;
CZ0212020;EVL;Reèkov;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0212021;EVL;Slatinná louka u Velenky;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0213065;EVL;Na Babì;RP Støední Èechy,,;
CZ0213802;EVL;V hladomoøí;RP Støední Èechy,,;
CZ0214002;EVL;Karlické údolí;RP Støední Èechy,,;
CZ0214008;EVL;Lánská obora;RP Støední Èechy,,;
CZ0214013;EVL;Kokoøínsko;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0214043;EVL;Niva Bìlé u Klokoèky;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0214044;EVL;Kersko;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0214045;EVL;Prameny Klíèavy;RP Støední Èechy,,;
CZ0214046;EVL;Rybník Vidlák;RP Støední Èechy,,;
CZ0214047;EVL;Brda;RP Støední Èechy,,;
CZ0214049;EVL;Písèina u Tuhánì;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0310001;EVL;Fabián - Homolka;RP Jiní Èechy,,;
CZ0310008;EVL;Rybník Rùe;RP Jiní Èechy,,;
CZ0310014;EVL;Libín;RP Jiní Èechy,,;
CZ0310017;EVL;Plánièskı rybník-Bobovec;RP Jiní Èechy,,;
