sitecode;typ_chu;nazev_chu;pracoviste;,,
CZ0623772;EVL;Boickı mokøad;RP Jiní Morava,,;
CZ0623775;EVL;Buèovice - zámek;RP Jiní Morava,,;
CZ0623778;EVL;Emin zámeèek;RP Jiní Morava,,;
CZ0623782;EVL;Rybnièní zámeèek;RP Jiní Morava,,;
CZ0623788;EVL;Popice - fara;RP Jiní Morava,,;
CZ0623793;EVL;Úvalskı rybník;RP Jiní Morava,,;
CZ0623798;EVL;Boické rybníky;RP Jiní Morava,,;
CZ0623799;EVL;Drnholeckı luh;RP Jiní Morava,,;
CZ0623800;EVL;Kníecí les;RP Jiní Morava,,;
CZ0623801;EVL;Pøísnotickı les;RP Jiní Morava,,;
CZ0623803;EVL;Bezruèova alej;RP Jiní Morava,,;
CZ0623807;EVL;Hobrtenky;RP Jiní Morava,,;
CZ0623808;EVL;Pisárky;RP Jiní Morava,,;
CZ0623820;EVL;Letištì Medlánky;RP Jiní Morava,,;
CZ0624064;EVL;Krumlovskı les;RP Jiní Morava,,;
CZ0624103;EVL;Mušovskı luh;RP Jiní Morava,,;
CZ0624106;EVL;Tvoøihrázskı les;RP Jiní Morava,,;
CZ0624129;EVL;Luèní údolí;RP Jiní Morava,,;
CZ0624238;EVL;Meandry Jihlavy;RP Jiní Morava,,;
CZ0625020;EVL;Trenckova rokle;RP Jiní Morava,,;
CZ0513240;EVL;Janovické rybníky;RP Liberecko,,;
CZ0513244;EVL;Manušické rybníky;RP Liberecko,,;
CZ0513662;EVL;Lemberk - zámek;RP Liberecko,,;
CZ0513665;EVL;Skalice u Èeské Lípy;RP Liberecko,,;
CZ0513668;EVL;Zdislava - kostel;RP Liberecko,,;
CZ0514672;EVL;Údolí Jizery a Kamenice;RP Liberecko,,;
CZ0515001;EVL;Èervenı rybník;RP Liberecko,,;
CZ0510028;EVL;Ralsko;RP Liberecko,,;
CZ0513237;EVL;Èeská Lípa - mokøad v nivì Šporky;RP Liberecko,,;
CZ0513238;EVL;Cihelenské rybníky;RP Liberecko,,;
CZ0513251;EVL;Rokytka;RP Liberecko,,;
CZ0513254;EVL;Luèní potok;RP Liberecko,,;
CZ0513257;EVL;Strunické rybníky;RP Liberecko,,;
CZ0513508;EVL;Zahrádky;RP Liberecko,,;
CZ0513658;EVL;Èeskı Dub - základní umìlecká škola;RP Liberecko,,;
CZ0712187;EVL;Chrastickı hadec;RP Olomoucko,,;
CZ0712189;EVL;Pod Rudnım vrchem;RP Olomoucko,,;
CZ0712191;EVL;Stráò nad Huskım potokem;RP Olomoucko,,;
CZ0712192;EVL;U Bílıch hlín;RP Olomoucko,,;
CZ0712193;EVL;U Strejèkova lomu;RP Olomoucko,,;
CZ0712197;EVL;ïár;RP Olomoucko,,;
CZ0712226;EVL;Poláchovy stránì - Vıøí skály;RP Olomoucko,,;
CZ0714084;EVL;Hadce a buèiny u Raškova;RP Olomoucko,,;
CZ0710006;EVL;Døevohostickı les;RP Olomoucko,,;
CZ0710007;EVL;Lesy u Bezuchova;RP Olomoucko,,;
CZ0710034;EVL;Lánskı luh;RP Olomoucko,,;
CZ0710161;EVL;Království;RP Olomoucko,,;
CZ0710505;EVL;Brániska;RP Olomoucko,,;
CZ0713004;EVL;Raèinka;RP Olomoucko,,;
CZ0713008;EVL;Deylùv ostrùvek;RP Olomoucko,,;
CZ0713374;EVL;Horní Morava;RP Olomoucko,,;
CZ0713383;EVL;Ohrozim - Horka;RP Olomoucko,,;
CZ0713385;EVL;Píseèná - mokøad;RP Olomoucko,,;
CZ0713388;EVL;Protivanov;RP Olomoucko,,;
CZ0713391;EVL;Tın nad Beèvou;RP Olomoucko,,;
CZ0713394;EVL;Dolní a Prostøední Svrèov;RP Olomoucko,,;
CZ0713397;EVL;Zlaté Hory - Èerné jezero;RP Olomoucko,,;
CZ0713526;EVL;Velká Støelná - štoly;RP Olomoucko,,;
CZ0713720;EVL;Bílá Lhota;RP Olomoucko,,;
CZ0713723;EVL;Èechy pod Kosíøem;RP Olomoucko,,;
CZ0713724;EVL;Èerná Voda - kostel;RP Olomoucko,,;
CZ0713725;EVL;Èerná Voda - kulturní dùm;RP Olomoucko,,;
CZ0713726;EVL;Hanušovice - kostel;RP Olomoucko,,;
CZ0713728;EVL;Chudobín;RP Olomoucko,,;
CZ0713734;EVL;Libina - U Èernuškù;RP Olomoucko,,;
CZ0713735;EVL;Lipová-láznì - mateøská školka;RP Olomoucko,,;
CZ0713736;EVL;Otaslavice - kostel;RP Olomoucko,,;
CZ0713739;EVL;Ruda nad Moravou;RP Olomoucko,,;
CZ0713740;EVL;Sobotín - domov dùchodcù;RP Olomoucko,,;
CZ0713741;EVL;Soudkova štola;RP Olomoucko,,;
CZ0713742;EVL;Štola Marie Pomocná;RP Olomoucko,,;
CZ0713743;EVL;Štola Maøka;RP Olomoucko,,;
CZ0713745;EVL;Velké Losiny - lázeòskı dùm Eliška;RP Olomoucko,,;
CZ0713746;EVL;Veselíèko;RP Olomoucko,,;
CZ0713747;EVL;Vlkoš - statek;RP Olomoucko,,;
CZ0713827;EVL;Stará Èervená Voda - lesní komplex;RP Olomoucko,,;
CZ0714083;EVL;Malı Kosíø;RP Olomoucko,,;
CZ0714772;EVL;Údolí Bystøice;RP Olomoucko,,;
CZ0815031;EVL;Skalské rašeliništì;RP Olomoucko,,;
CZ0622166;EVL;Miliovy louky;RP SCHKO Bílé Karpaty,,;
CZ0622172;EVL;Nad Vápenkou;RP SCHKO Bílé Karpaty,,;
CZ0624066;EVL;Jasenová;RP SCHKO Bílé Karpaty,,;
CZ0722201;EVL;Kobylí hlava;RP SCHKO Bílé Karpaty,,;
CZ0623031;EVL;Vypálenky;RP SCHKO Bílé Karpaty,,;
CZ0623349;EVL;Velickı hliník;RP SCHKO Bílé Karpaty,,;
CZ0623711;EVL;Lipov - kostel;RP SCHKO Bílé Karpaty,,;
CZ0720013;EVL;Babí hora;RP SCHKO Bílé Karpaty,,;
CZ0720033;EVL;Semetín;RP SCHKO Bílé Karpaty,,;
CZ0720153;EVL;Troják;RP SCHKO Bílé Karpaty,,;
CZ0720185;EVL;Rusava - Hoøansko;RP SCHKO Bílé Karpaty,,;
CZ0723007;EVL;Èerák;RP SCHKO Bílé Karpaty,,;
CZ0723012;EVL;Insel;RP SCHKO Bílé Karpaty,,;
CZ0723020;EVL;Údolí Okluky;RP SCHKO Bílé Karpaty,,;
CZ0723024;EVL;Rochus;RP SCHKO Bílé Karpaty,,;
CZ0723401;EVL;Bøeznice u Zlína;RP SCHKO Bílé Karpaty,,;
CZ0723403;EVL;Uhliska;RP SCHKO Bílé Karpaty,,;
CZ0723406;EVL;Chvalèov;RP SCHKO Bílé Karpaty,,;
CZ0723409;EVL;Kurovice - lom;RP SCHKO Bílé Karpaty,,;
CZ0723410;EVL;Mokøad Pumpák;RP SCHKO Bílé Karpaty,,;
CZ0723412;EVL;Mokøad u Slováckıch strojíren;RP SCHKO Bílé Karpaty,,;
CZ0723413;EVL;Ovèírka;RP SCHKO Bílé Karpaty,,;
CZ0723414;EVL;Polichno - Pod duby;RP SCHKO Bílé Karpaty,,;
CZ0723415;EVL;Polichno;RP SCHKO Bílé Karpaty,,;
CZ0723416;EVL;Popovické rybníky;RP SCHKO Bílé Karpaty,,;
CZ0723417;EVL;Pozdìchov;RP SCHKO Bílé Karpaty,,;
CZ0723423;EVL;Skalky;RP SCHKO Bílé Karpaty,,;
CZ0723424;EVL;Stonáè;RP SCHKO Bílé Karpaty,,;
CZ0723425;EVL;Stránì u Popovic;RP SCHKO Bílé Karpaty,,;
CZ0723426;EVL;Støíovice;RP SCHKO Bílé Karpaty,,;
CZ0723430;EVL;Údolí Bánovského potoka;RP SCHKO Bílé Karpaty,,;
CZ0723750;EVL;Jankovice - kostel;RP SCHKO Bílé Karpaty,,;
CZ0723752;EVL;Lideèko - kostel;RP SCHKO Bílé Karpaty,,;
CZ0723753;EVL;Luhaèovice - zámek;RP SCHKO Bílé Karpaty,,;
CZ0723754;EVL;Pozdìchov - kostel;RP SCHKO Bílé Karpaty,,;
CZ0723755;EVL;Rusava - kostel;RP SCHKO Bílé Karpaty,,;
CZ0723758;EVL;Slušovice - kostel;RP SCHKO Bílé Karpaty,,;
CZ0723759;EVL;Štola Sintrová;RP SCHKO Bílé Karpaty,,;
CZ0723813;EVL;Kotrlé;RP SCHKO Bílé Karpaty,,;
CZ0724087;EVL;Újezdeckı les;RP SCHKO Bílé Karpaty,,;
CZ0724107;EVL;Nedakonickı les;RP SCHKO Bílé Karpaty,,;
CZ0724120;EVL;Knìpolskı les;RP SCHKO Bílé Karpaty,,;
CZ0724121;EVL;Nad Jasenkou;RP SCHKO Bílé Karpaty,,;
CZ0724429;EVL;Hostınské vrchy;RP SCHKO Bílé Karpaty,,;
CZ0422079;EVL;Královomlınskı rybník;RP SCHKO Èeské støedohoøí,,;
CZ0422081;EVL;Na spáleništi;RP SCHKO Èeské støedohoøí,,;
CZ0422087;EVL;V kuksu;RP SCHKO Èeské støedohoøí,,;
CZ0423659;EVL;Svìtlík;RP SCHKO Èeské støedohoøí,,;
CZ0424138;EVL;Písteckı les;RP SCHKO Èeské støedohoøí,,;
CZ0423201;EVL;Blšanskı chlum;RP SCHKO Èeské støedohoøí,,;
CZ0423210;EVL;Doubravka;RP SCHKO Èeské støedohoøí,,;
CZ0423211;EVL;Háj u Oseka;RP SCHKO Èeské støedohoøí,,;
CZ0423215;EVL;Kateøina - mokøad;RP SCHKO Èeské støedohoøí,,;
CZ0423216;EVL;Kopistská vısypka;RP SCHKO Èeské støedohoøí,,;
CZ0420007;EVL;Holı vrch;RP SCHKO Èeské støedohoøí,,;
CZ0420008;EVL;Na Èernèí;RP SCHKO Èeské støedohoøí,,;
CZ0420014;EVL;Hora Øíp;RP SCHKO Èeské støedohoøí,,;
CZ0420041;EVL;Skalky u Tøebutièek;RP SCHKO Èeské støedohoøí,,;
CZ0420059;EVL;Stránì u Velkého Újezdu;RP SCHKO Èeské støedohoøí,,;
CZ0420063;EVL;Stroupeè;RP SCHKO Èeské støedohoøí,,;
CZ0420085;EVL;Mokøad pod Terezínskou pevností;RP SCHKO Èeské støedohoøí,,;
CZ0420166;EVL;Velkı rybník;RP SCHKO Èeské støedohoøí,,;
CZ0422084;EVL;Písèiny u Oleška;RP SCHKO Èeské støedohoøí,,;
CZ0423228;EVL;Strádovskı rybník;RP SCHKO Èeské støedohoøí,,;
CZ0423232;EVL;Vrch Hazmburk;RP SCHKO Èeské støedohoøí,,;
CZ0423510;EVL;Ohøe;RP SCHKO Èeské støedohoøí,,;
CZ0423653;EVL;Jílové u Dìèína - škola;RP SCHKO Èeské støedohoøí,,;
CZ0423654;EVL;Lobendava - kostel;RP SCHKO Èeské støedohoøí,,;
CZ0423656;EVL;Úštìk - kostel;RP SCHKO Èeské støedohoøí,,;
CZ0424133;EVL;Stránì nad Suchım potokem;RP SCHKO Èeské støedohoøí,,;
CZ0424135;EVL;Bílé stránì u Štìtí;RP SCHKO Èeské støedohoøí,,;
CZ0322055;EVL;Drahotínskı les;RP SCHKO Èeskı les,,;
CZ0322057;EVL;Maòovickı rybník;RP SCHKO Èeskı les,,;
CZ0322059;EVL;Pohorsko;RP SCHKO Èeskı les,,;
CZ0322060;EVL;Vlkonice;RP SCHKO Èeskı les,,;
CZ0325003;EVL;Netøeb;RP SCHKO Èeskı les,,;
CZ0320013;EVL;Prameništì Pøešínského potoka;RP SCHKO Èeskı les,,;
CZ0320023;EVL;Èepièná;RP SCHKO Èeskı les,,;
CZ0323142;EVL;Berounka;RP SCHKO Èeskı les,,;
CZ0323143;EVL;Blovice;RP SCHKO Èeskı les,,;
CZ0323144;EVL;Bonìtice;RP SCHKO Èeskı les,,;
CZ0323147;EVL;Darmyšl - pískovna;RP SCHKO Èeskı les,,;
CZ0323149;EVL;Kakejcov;RP SCHKO Èeskı les,,;
CZ0323150;EVL;Kamenec;RP SCHKO Èeskı les,,;
CZ0323155;EVL;Lopata;RP SCHKO Èeskı les,,;
CZ0323158;EVL;Osek - rybník Labutinka;RP SCHKO Èeskı les,,;
CZ0323160;EVL;Pocinovice;RP SCHKO Èeskı les,,;
CZ0323161;EVL;Pøešínskı potok;RP SCHKO Èeskı les,,;
CZ0323162;EVL;Pøeštice - V Hlinkách;RP SCHKO Èeskı les,,;
CZ0323163;EVL;Prùhonskı rybník;RP SCHKO Èeskı les,,;
CZ0323164;EVL;Rabí;RP SCHKO Èeskı les,,;
CZ0323165;EVL;Radbuza;RP SCHKO Èeskı les,,;
CZ0323167;EVL;Rokycany - vojenské cvièištì;RP SCHKO Èeskı les,,;
CZ0323169;EVL;Støíbro - vojenské cvièištì;RP SCHKO Èeskı les,,;
CZ0323170;EVL;Zlatı potok;RP SCHKO Èeskı les,,;
CZ0323478;EVL;Tøebıcinka u Bezdìkova;RP SCHKO Èeskı les,,;
CZ0323636;EVL;Dolany - kostel;RP SCHKO Èeskı les,,;
CZ0323637;EVL;Štola Rohatiny I;RP SCHKO Èeskı les,,;
CZ0323639;EVL;Liblín - lihovar;RP SCHKO Èeskı les,,;
CZ0323640;EVL;Manìtín - kostel;RP SCHKO Èeskı les,,;
CZ0323641;EVL;Pøedslav - kostel;RP SCHKO Èeskı les,,;
CZ0323642;EVL;Radnice - kostel;RP SCHKO Èeskı les,,;
CZ0323644;EVL;Štola Loreta;RP SCHKO Èeskı les,,;
CZ0323646;EVL;Støíbro - štoly Dlouhı tah;RP SCHKO Èeskı les,,;
CZ0323647;EVL;Všeruby - kostel;RP SCHKO Èeskı les,,;
CZ0323648;EVL;ihobce - zámek;RP SCHKO Èeskı les,,;
CZ0323824;EVL;Ostruná;RP SCHKO Èeskı les,,;
CZ0323825;EVL;Hadovka;RP SCHKO Èeskı les,,;
CZ0323826;EVL;Dobøany;RP SCHKO Èeskı les,,;
CZ0324025;EVL;Kaòon Støely;RP SCHKO Èeskı les,,;
CZ0324029;EVL;Tìchonická draha;RP SCHKO Èeskı les,,;
CZ0324032;EVL;V Morávkách;RP SCHKO Èeskı les,,;
CZ0325001;EVL;Hrádecká bahna;RP SCHKO Èeskı les,,;
CZ0325002;EVL;Hùrky;RP SCHKO Èeskı les,,;
CZ0210734;EVL;Stránì u Kochánek;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0212022;EVL;Slepeè;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0210064;EVL;Píseènı pøesyp u Píst;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0210109;EVL;Chlum u Nepøevázky;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0210721;EVL;Pìnovce u rybníka Lutovník;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0513659;EVL;Doksy - zámek;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0213006;EVL;Valcha;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0213039;EVL;Labe - Libìchov;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0213048;EVL;Mydlovarskı luh;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0213051;EVL;Oškobrh;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0213600;EVL;Bìlá pod Bezdìzem - zámek;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0213611;EVL;Ledce - hájovna;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0213612;EVL;Louèeò - hotel Jivák;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0213776;EVL;Bezdìèín;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0213794;EVL;Kerské rybníèky;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0420012;EVL;elinskı meandr;RP SCHKO Slavkovskı les,,;
CZ0422085;EVL;Sobìchlebské terasy;RP SCHKO Slavkovskı les,,;
CZ0423203;EVL;Èernovice;RP SCHKO Slavkovskı les,,;
CZ0423213;EVL;Chomutov - zoopark;RP SCHKO Slavkovskı les,,;
CZ0423217;EVL;Krásnı Dvùr;RP SCHKO Slavkovskı les,,;
CZ0410040;EVL;Pernink;RP SCHKO Slavkovskı les,,;
CZ0410046;EVL;Šibenièní vrch;RP SCHKO Slavkovskı les,,;
CZ0410151;EVL;Vladaø;RP SCHKO Slavkovskı les,,;
CZ0410155;EVL;Rudné;RP SCHKO Slavkovskı les,,;
CZ0410168;EVL;Vysoká Pec;RP SCHKO Slavkovskı les,,;
CZ0410439;EVL;Lítovskı mokøad;RP SCHKO Slavkovskı les,,;
CZ0413007;EVL;Prachomety;RP SCHKO Slavkovskı les,,;
CZ0413013;EVL;Mokøady u Tìšetic;RP SCHKO Slavkovskı les,,;
CZ0413014;EVL;Høivínovské pastviny;RP SCHKO Slavkovskı les,,;
CZ0413015;EVL;Louky u Dlouhé Lomnice;RP SCHKO Slavkovskı les,,;
CZ0413017;EVL;U Jedlové;RP SCHKO Slavkovskı les,,;
CZ0413173;EVL;Za Údrèí;RP SCHKO Slavkovskı les,,;
CZ0413174;EVL;Borecké rybníky;RP SCHKO Slavkovskı les,,;
CZ0413185;EVL;Matyáš;RP SCHKO Slavkovskı les,,;
CZ0413190;EVL;Ostrovské rybníky;RP SCHKO Slavkovskı les,,;
CZ0413193;EVL;U sedmi rybníkù;RP SCHKO Slavkovskı les,,;
CZ0413194;EVL;Støela;RP SCHKO Slavkovskı les,,;
CZ0413196;EVL;Tıništì;RP SCHKO Slavkovskı les,,;
CZ0420035;EVL;Na louèkách;RP SCHKO Slavkovskı les,,;
CZ0420069;EVL;Dìtanskı chlum;RP SCHKO Slavkovskı les,,;
CZ0420160;EVL;Podmilesy;RP SCHKO Slavkovskı les,,;
CZ0423223;EVL;Petrohrad;RP SCHKO Slavkovskı les,,;
CZ0423229;EVL;Údlické Doubí;RP SCHKO Slavkovskı les,,;
CZ0423660;EVL;Praská pole;RP SCHKO Slavkovskı les,,;
CZ0424036;EVL;Bìšickı chochol;RP SCHKO Slavkovskı les,,;
CZ0110050;EVL;Prokopské údolí;RP Støední Èechy,,;
CZ0210153;EVL;Zvolská homole;RP Støední Èechy,,;
CZ0212001;EVL;Bøezinskı rybník;RP Støední Èechy,,;
CZ0212004;EVL;Malíkovická stráò;RP Støední Èechy,,;
CZ0212010;EVL;Hvoïanské Háje;RP Støední Èechy,,;
CZ0212023;EVL;Písèina u Tišic;RP Støední Èechy,,;
CZ0212024;EVL;Èervené dolíky;RP Støední Èechy,,;
CZ0212025;EVL;Ostrov u Jedomìlic;RP Støední Èechy,,;
CZ0213072;EVL;Smeèno;RP Støední Èechy,,;
CZ0214010;EVL;Dománovickı les;RP Støední Èechy,,;
CZ0110040;EVL;Chuchelské háje;RP Støední Èechy,,;
CZ0110049;EVL;Havránka a Salabka;RP Støední Èechy,,;
CZ0110142;EVL;Blatov a Xaverovskı háj;RP Støední Èechy,,;
CZ0110154;EVL;Kaòon Vltavy u Sedlce;RP Støední Èechy,,;
CZ0113001;EVL;Obora Hvìzda;RP Støední Èechy,,;
CZ0113002;EVL;Milíèovskı les;RP Støední Èechy,,;
CZ0113773;EVL;Praha - Petøín;RP Støední Èechy,,;
CZ0210010;EVL;Housina;RP Støední Èechy,,;
CZ0210043;EVL;Hradec a Kuchyòka;RP Støední Èechy,,;
CZ0210105;EVL;Kalivodské buèiny;RP Støední Èechy,,;
CZ0210152;EVL;Polabí u Kostelce;RP Støední Èechy,,;
CZ0210173;EVL;Slaná louka u Újezdce;RP Støední Èechy,,;
CZ0213064;EVL;Romitál pod Tøemšínem;RP Støední Èechy,,;
CZ0213068;EVL;Dolní Sázava;RP Støední Èechy,,;
CZ0213069;EVL;Sedleèskı potok;RP Støední Èechy,,;
CZ0213070;EVL;Slánsko - Byseòskı potok;RP Støední Èechy,,;
CZ0213071;EVL;Slavkov;RP Støední Èechy,,;
CZ0213076;EVL;Štìpánovskı potok;RP Støední Èechy,,;
CZ0213078;EVL;Trhovky;RP Støední Èechy,,;
CZ0213081;EVL;Vápenické jezero;RP Støední Èechy,,;
CZ0213082;EVL;Velkı Raputovskı rybník;RP Støední Èechy,,;
CZ0213001;EVL;Novı rybník u Kaèiny;RP Støední Èechy,,;
CZ0213004;EVL;Rybník Starı u Líchov;RP Støední Èechy,,;
CZ0213005;EVL;Šáchovec;RP Støední Èechy,,;
CZ0213013;EVL;Bøeznice - Oblouèek;RP Støední Èechy,,;
CZ0213015;EVL;Dobøíšskı park;RP Støední Èechy,,;
CZ0213016;EVL;Zákolanskı potok;RP Støední Èechy,,;
CZ0213017;EVL;Draská Koupì;RP Støední Èechy,,;
CZ0213023;EVL;Hrdlièka - ïánská hora;RP Støední Èechy,,;
CZ0213028;EVL;Kalivody;RP Støední Èechy,,;
CZ0213029;EVL;Kalspot;RP Støední Èechy,,;
CZ0213038;EVL;Kyšice - Kobyla;RP Støední Èechy,,;
CZ0213042;EVL;Losinskı potok;RP Støední Èechy,,;
CZ0213043;EVL;Tøeštibok;RP Støední Èechy,,;
CZ0213047;EVL;Minartice;RP Støední Èechy,,;
CZ0213058;EVL;Lom na Plachtì;RP Støední Èechy,,;
CZ0213059;EVL;Tøebichovická olšinka;RP Støední Èechy,,;
CZ0213083;EVL;Veltrusy;RP Støední Èechy,,;
CZ0213084;EVL;Vlèkovice - Dubskı rybník;RP Støední Èechy,,;
CZ0213086;EVL;Aglaia;RP Støední Èechy,,;
CZ0213601;EVL;Jungmannova škola v Berounì;RP Støední Èechy,,;
CZ0213602;EVL;Dobøíšskı zámek;RP Støední Èechy,,;
CZ0213613;EVL;Malešov;RP Støední Èechy,,;
CZ0213615;EVL;Štola Jarnice;RP Støední Èechy,,;
CZ0213620;EVL;Štola Moøic;RP Støední Èechy,,;
CZ0213629;EVL;Tınecká rotunda;RP Støední Èechy,,;
CZ0213630;EVL;Vysokı Újezd - kostel;RP Støední Èechy,,;
CZ0213631;EVL;Svatá Dobrotivá;RP Støední Èechy,,;
CZ0213777;EVL;Bohostice;RP Støední Èechy,,;
CZ0213779;EVL;Bøeanské údolí;RP Støední Èechy,,;
CZ0213784;EVL;Horní a Dolní obdìnickı rybník;RP Støední Èechy,,;
CZ0213785;EVL;Horní solopyskı rybník;RP Støední Èechy,,;
CZ0213789;EVL;Jablonná - mokøad;RP Støední Èechy,,;
CZ0213791;EVL;Jezera;RP Støední Èechy,,;
CZ0213792;EVL;Kaèina;RP Støední Èechy,,;
CZ0213796;EVL;Kolín - letištì;RP Støední Èechy,,;
CZ0213817;EVL;Obecnickı potok;RP Støední Èechy,,;
CZ0214005;EVL;Andìlské schody;RP Støední Èechy,,;
CZ0214040;EVL;Louky u Drahlína;RP Støední Èechy,,;
CZ0533300;EVL;Heømanùv Mìstec;RP Vıchodní Èechy,,;
CZ0533302;EVL;Choltická obora;RP Vıchodní Èechy,,;
CZ0533307;EVL;Kunìtická hora;RP Vıchodní Èechy,,;
CZ0533309;EVL;Pardubice - zámek;RP Vıchodní Èechy,,;
CZ0533310;EVL;Hlubokı rybník;RP Vıchodní Èechy,,;
CZ0533312;EVL;Rybník Moøe;RP Vıchodní Èechy,,;
CZ0533316;EVL;Uhersko;RP Vıchodní Èechy,,;
CZ0533684;EVL;Bìstvina - krypta;RP Vıchodní Èechy,,;
CZ0533686;EVL;Bouda u Tìchonína;RP Vıchodní Èechy,,;
CZ0523823;EVL;Luèní potok v Podkrkonoší;RP Vıchodní Èechy,,;
CZ0610515;EVL;Kamennı vrch u Heraltic;RP Vysoèina,,;
CZ0610516;EVL;Hajnice;RP Vysoèina,,;
CZ0610517;EVL;Niva Doubravy;RP Vysoèina,,;
CZ0612134;EVL;Dolní rybník u Újezda;RP Vysoèina,,;
CZ0612136;EVL;Kobylinec;RP Vysoèina,,;
CZ0612137;EVL;Obecník;RP Vysoèina,,;
CZ0612140;EVL;Podvesník;RP Vysoèina,,;
CZ0612141;EVL;Ptáèovskı kopeèek;RP Vysoèina,,;
CZ0612145;EVL;Rychtáøskı rybník;RP Vysoèina,,;
CZ0612147;EVL;Špilberk;RP Vysoèina,,;
CZ0613327;EVL;Nová Øíše;RP Vysoèina,,;
CZ0613335;EVL;U Borovné;RP Vysoèina,,;
CZ0614052;EVL;Rybníky u Rudolce;RP Vysoèina,,;
CZ0614057;EVL;Znìtínské rybníky;RP Vysoèina,,;
CZ0614058;EVL;Rybníky V Pouštích;RP Vysoèina,,;
CZ0614135;EVL;U Milièovska;RP Vysoèina,,;
CZ0610003;EVL;Vysokı kámen u Smrèné;RP Vysoèina,,;
CZ0610022;EVL;Havranka;RP Vysoèina,,;
CZ0610025;EVL;Habrová seè;RP Vysoèina,,;
CZ0610029;EVL;Horní Mrzatec;RP Vysoèina,,;
CZ0610175;EVL;Baba a Belfrídskı potok;RP Vysoèina,,;
CZ0613002;EVL;Roštejnská obora;RP Vysoèina,,;
CZ0613003;EVL;Maršovec a Èepièka;RP Vysoèina,,;
CZ0613004;EVL;Bøevnickı potok;RP Vysoèina,,;
CZ0613005;EVL;Martinickı potok;RP Vysoèina,,;
CZ0610179;EVL;Jedlovı les a údolí Rokytné;RP Vysoèina,,;
CZ0613012;EVL;Na Ostráné;RP Vysoèina,,;
CZ0613013;EVL;Šilhánky;RP Vysoèina,,;
CZ0613319;EVL;Fickù rybník;RP Vysoèina,,;
CZ0613322;EVL;Koupalištì u Bohuslavic;RP Vysoèina,,;
CZ0613328;EVL;Rašelinné jezírko Rosièka;RP Vysoèina,,;
CZ0613332;EVL;Šlapanka a Zlatı potok;RP Vysoèina,,;
CZ0613334;EVL;Trnava;RP Vysoèina,,;
CZ0613336;EVL;V kopaninách;RP Vysoèina,,;
CZ0613695;EVL;Biskupice - kostel;RP Vysoèina,,;
CZ0613696;EVL;Biskupice - škola;RP Vysoèina,,;
CZ0613698;EVL;Jeøišno - Heømaò;RP Vysoèina,,;
CZ0613699;EVL;Námìš nad Oslavou - zámeèek;RP Vysoèina,,;
CZ0613816;EVL;Námìšská obora;RP Vysoèina,,;
CZ0614054;EVL;Na Oklice;RP Vysoèina,,;
CZ0614056;EVL;V Lisovech;RP Vysoèina,,;
CZ0615001;EVL;Zajeèí skok;RP Vysoèina,,;
CZ0615018;EVL;Šimanovské rašeliništì;RP Vysoèina,,;
CZ0612133;EVL;Dìdkovo;RP Vysoèina,,;
CZ0721024;PO;Hostınské vrchy;RP SCHKO Bílé Karpaty,,;
CZ0710183;EVL;Rychlebské hory - Raèí údolí;RP Olomoucko,,;
CZ0623046;EVL;Trávní dvùr;RP Jiní Morava,,;
CZ0624095;EVL;Údolí Dyje;RP Jiní Morava,,;
CZ0714133;EVL;Libavá;RP Olomoucko,,;
CZ0624096;EVL;Podyjí;RP Jiní Morava,,;
CZ0313137;EVL;Veveøskı potok;RP Jiní Èechy,,;
CZ0213077;EVL;Suchdolskı rybník;RP Støední Èechy,,;
CZ0213066;EVL;Rybník Voèert a Lazy;RP Støední Èechy,,;
CZ0713398;EVL;Zlaté Hory - Zlaté jezero;RP Olomoucko,,;
CZ0513256;EVL;Smìdá;RP Liberecko,,;
CZ0213061;EVL;Tınecké mokøiny;RP Støední Èechy,,;
CZ0212008;EVL;Hadce u Hrnèíø;RP Støední Èechy,,;
CZ0622174;EVL;V Jezdinách;RP Jiní Morava,,;
CZ0713395;EVL;Vidnava;RP Olomoucko,,;
CZ0214004;EVL;Èernı Orel;RP SCHKO Kokoøínsko - Máchùv kraj,,;
CZ0313822;EVL;Koštìnickı potok;RP Jiní Èechy,,;
CZ0724091;EVL;Chøiby;RP SCHKO Bílé Karpaty,,;
CZ0813456;EVL;Moravice;RP Olomoucko,,;
CZ0623324;EVL;Bobrùvka;RP Jiní Morava,,;
CZ0713375;EVL;Hustopeèe - Štìrkáè;RP Olomoucko,,;
